#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA23CA
#Date Time: 2019-04-01 12:59:37.574
#Start: 300 Hz
#Stop: 2250 Hz
#Steps: 500
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.5478 V
#Offset: -0.00029488 V
#Relative: no
#Channel: Channel 2
#Range: 5.4859 V
#Offset: -5.08746e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
803.539,0.00640558,-0.285027
806.79,0.00507387,-0.279112
810.054,0.0035892,-0.280258
813.332,-0.000296314,-0.27408
816.623,0.00477956,-0.272604
819.927,0.00432058,-0.265772
823.244,0.00808369,-0.267756
826.575,0.00487606,-0.260288
829.919,-0.000364976,-0.258577
833.277,0.010169,-0.258714
836.649,0.00479384,-0.254207
840.034,0.00602119,-0.247853
843.433,0.00433156,-0.253054
846.845,0.00213806,-0.237655
850.272,0.00536405,-0.236969
853.712,0.00401011,-0.235287
857.166,0.00770494,-0.234632
860.634,0.00668449,-0.232477
864.116,0.00120847,-0.226502
867.613,0.00336539,-0.222745
871.123,0.0114769,-0.224254
874.648,0.00832937,-0.218963
878.187,0.0123328,-0.215717
881.74,0.00984405,-0.214485
885.307,0.00368974,-0.207383
888.889,0.00831331,-0.202576
892.486,0.00921037,-0.203759
896.097,0.00347994,-0.19945
899.722,0.00528534,-0.195932
903.363,0.00931346,-0.191561
907.018,0.00496982,-0.189255
910.688,0.00647423,-0.185114
914.372,0.00481391,-0.184522
918.072,0.00257066,-0.182315
921.786,0.00336592,-0.179635
925.516,-0.00167892,-0.173296
929.261,0.00625847,-0.17477
933.021,0.0034966,-0.169532
936.796,0.00366146,-0.169219
940.586,0.0057666,-0.166572
944.392,0.00440344,-0.163894
948.213,-0.001354,-0.156649
952.049,0.000595451,-0.15972
955.901,0.00793859,-0.159748
959.769,0.00574986,-0.155422
963.652,0.00816331,-0.156588
967.551,0.00739632,-0.154148
971.466,0.00964241,-0.150226
975.396,0.00429521,-0.142756
979.343,0.00656361,-0.144262
983.305,0.0107081,-0.145996
987.284,0.00469158,-0.147058
991.278,0.00741682,-0.142378
995.289,0.00524626,-0.144088
999.316,0.0117823,-0.145443
1003.36,0.0127717,-0.147315
1007.42,0.00655823,-0.140255
1011.5,0.00555744,-0.144568
1015.59,0.00609216,-0.143277
1019.7,0.00874347,-0.141372
1023.82,0.00862846,-0.14613
1027.97,0.00838251,-0.144755
1032.12,0.0076396,-0.14811
1036.3,0.00475541,-0.144925
1040.49,0.0121887,-0.151869
1044.7,0.00662036,-0.153152
1048.93,0.00664235,-0.156399
1053.17,0.00408105,-0.157172
1057.44,0.00807799,-0.163158
1061.71,0.0119655,-0.166274
1066.01,0.00608067,-0.169006
1070.32,0.00602558,-0.174238
1074.65,0.00747875,-0.184365
1079,0.00457079,-0.184312
1083.37,0.00425326,-0.193035
1087.75,0.00403477,-0.194639
1092.15,0.00516298,-0.202555
1096.57,0.0117327,-0.212739
1101.01,0.00809971,-0.218714
1105.46,0.00595891,-0.23199
1109.93,0.00271008,-0.234179
1114.43,0.00470655,-0.242528
1118.93,0.00373196,-0.253533
1123.46,0.00786567,-0.263869
1128.01,0.00753167,-0.274944
1132.57,0.00848063,-0.290367
1137.15,0.0101758,-0.305763
1141.75,0.0037553,-0.313533
1146.37,0.00851624,-0.32783
1151.01,0.00617596,-0.335599
1155.67,0.00530846,-0.355497
1160.35,0.00511215,-0.36582
1165.04,0.000958643,-0.380269
