X (Hz),Y (dBV),
8088.146,-72.71903,
8107.222,-79.44612,
8126.297,-86.7675,
8145.373,-84.7897,
8164.449,-74.54842,
8183.525,-67.39405,
8202.601,-66.33746,
8221.677,-68.01291,
8240.752,-73.96625,
8259.828,-102.0938,
8278.903,-85.62384,
8297.979,-85.08273,
8317.056,-83.31718,
8336.131,-77.78487,
8355.207,-68.04513,
8374.283,-66.46813,
8393.358,-74.54467,
8412.435,-77.05212,
8431.511,-71.55768,
8450.586,-70.77257,
8469.662,-68.03255,
8488.737,-66.36163,
8507.813,-67.99771,
8526.89,-71.88835,
8545.965,-68.34151,
8565.041,-65.41103,
8584.117,-68.21294,
8603.192,-70.58813,
8622.269,-69.20295,
8641.345,-68.92559,
8660.42,-68.828,
8679.496,-68.7919,
8698.571,-65.81408,
8717.647,-65.43046,
8736.724,-73.11339,
8755.799,-69.80708,
8774.875,-62.77826,
8793.951,-63.28928,
8813.026,-67.4571,
8832.103,-71.63519,
8851.179,-73.55763,
8870.254,-78.17229,
8889.33,-79.36732,
8908.405,-67.97954,
8927.481,-64.90338,
8946.558,-65.69984,
8965.633,-66.95403,
8984.709,-67.37621,
9003.785,-69.64352,
9022.86,-71.48268,
9041.937,-74.57772,
9061.013,-79.00214,
9080.088,-69.74878,
9099.164,-76.97734,
9118.239,-72.20705,
9137.315,-66.66999,
9156.392,-63.92212,
9175.467,-66.13484,
9194.543,-74.92666,
9213.619,-71.92294,
9232.694,-69.79944,
9251.771,-71.24907,
9270.846,-71.58461,
9289.922,-80.83107,
9308.998,-67.91418,
9328.073,-69.36147,
9347.149,-75.45406,
9366.226,-80.52551,
9385.301,-69.0621,
9404.377,-69.55201,
9423.453,-79.00557,
9442.528,-66.63932,
9461.604,-66.17541,
9480.68,-76.91286,
9499.756,-82.9269,
9518.832,-79.02669,
9537.907,-67.70486,
9556.983,-65.29117,
9576.06,-65.87637,
9595.135,-69.706,
9614.211,-69.15717,
9633.287,-66.4444,
9652.362,-63.04044,
9671.438,-63.64389,
9690.514,-77.41996,
9709.59,-68.7518,
9728.666,-71.01144,
9747.741,-63.7774,
9766.817,-59.80053,
9785.894,-64.04061,
9804.969,-72.99689,
9824.045,-63.10886,
9843.121,-61.44511,
9862.196,-60.72712,
9881.272,-60.06469,
9900.348,-62.36527,
9919.424,-65.03377,
9938.5,-61.37234,
9957.575,-60.57167,
9976.651,-60.74173,
9995.728,-63.5943,
10014.8,-64.42585,
10033.88,-60.02116,
10052.96,-59.17899,
10072.03,-62.19429,
10091.11,-65.13043,
10110.18,-64.56973,
10129.26,-61.7515,
10148.33,-64.13438,
10167.41,-84.19788,
10186.49,-74.53701,
10205.56,-67.11667,
10224.64,-66.33694,
10243.71,-69.63574,
10262.79,-76.13619,
10281.86,-66.87013,
10300.94,-64.63573,
10320.02,-67.30582,
10339.09,-80.58459,
10358.17,-68.40457,
10377.24,-69.41499,
10396.32,-69.23786,
10415.4,-63.92345,
10434.47,-64.68047,
10453.55,-71.65276,
10472.62,-67.91446,
10491.7,-64.14432,
10510.77,-65.68098,
10529.85,-72.6451,
10548.93,-67.79692,
10568,-71.80995,
10587.08,-73.3378,
10606.15,-65.6543,
10625.23,-65.01392,
10644.3,-69.63982,
10663.38,-75.51194,
10682.46,-68.42805,
10701.53,-66.19005,
10720.61,-69.96188,
10739.68,-79.19864,
10758.76,-71.54189,
10777.84,-62.73413,
10796.91,-63.40535,
10815.99,-65.78908,
10835.06,-64.81371,
10854.14,-61.29104,
10873.21,-59.76614,
10892.29,-62.53168,
10911.37,-65.91337,
10930.44,-62.37344,
10949.52,-61.11958,
10968.59,-61.35765,
10987.67,-63.52526,
11006.75,-64.86525,
11025.82,-61.53154,
11044.9,-61.3309,
11063.97,-62.41343,
11083.05,-63.2156,
11102.12,-66.70896,
11121.2,-73.68209,
11140.28,-62.13015,
11159.35,-62.13919,
11178.43,-70.07232,
11197.5,-69.9325,
11216.58,-72.7716,
11235.66,-69.55807,
11254.73,-63.98116,
11273.81,-66.17204,
11292.88,-69.20828,
11311.96,-71.3132,
11331.03,-69.39256,
11350.11,-67.26601,
11369.19,-68.2439,
11388.26,-73.54688,
11407.34,-91.09737,
11426.41,-91.06233,
11445.49,-70.40023,
11464.56,-66.91059,
11483.64,-72.51648,
11502.72,-75.86653,
11521.79,-70.47051,
11540.87,-73.9024,
11559.94,-84.18041,
11579.02,-74.38326,
11598.1,-69.58328,
11617.17,-71.56987,
11636.25,-81.24831,
11655.32,-72.69771,
11674.4,-72.96037,
11693.47,-72.52153,
11712.55,-78.15598,
11731.63,-72.47982,
11750.7,-66.76111,
11769.78,-66.66175,
11788.85,-70.23547,
11807.93,-77.20504,
11827.01,-74.13832,
11846.08,-73.39816,
11865.16,-89.31007,
11884.23,-74.48605,
11903.31,-72.53664,
11922.38,-69.93954,
11941.46,-68.34897,
11960.54,-68.15324,
11979.61,-67.12547,
11998.69,-68.08736,
12017.76,-73.59547,
