X (Hz),Y (dBV),
11464.56,-34.04882,
11483.64,-85.48862,
11502.72,-67.92733,
11521.79,-63.12304,
11540.87,-56.23783,
11559.94,-41.63866,
11579.02,-49.61205,
11598.1,-56.45946,
11617.17,-59.47986,
11636.25,-62.16368,
11655.32,-63.51484,
11674.4,-60.81567,
11693.47,-63.80943,
11712.55,-64.60357,
11731.63,-65.81264,
11750.7,-65.88698,
11769.78,-67.38288,
11788.85,-67.46075,
11807.93,-67.67435,
11827.01,-67.98002,
11846.08,-68.10663,
11865.16,-68.80605,
11884.23,-68.97278,
11903.31,-68.86173,
11922.38,-69.24769,
11941.46,-69.64555,
11960.54,-70.17947,
11979.61,-69.69106,
11998.69,-69.87914,
12017.76,-70.5672,
12036.84,-70.47688,
12055.92,-70.07398,
12074.99,-70.33192,
12094.07,-70.78732,
12113.14,-70.82253,
12132.22,-70.76888,
12151.29,-70.61765,
12170.37,-70.66395,
12189.45,-71.49004,
12208.52,-71.44315,
12227.6,-71.62057,
12246.67,-71.84774,
12265.75,-71.8245,
12284.83,-71.772,
12303.9,-71.95467,
12322.98,-72.30623,
12342.05,-72.35958,
12361.13,-71.76003,
12380.2,-72.73179,
12399.28,-72.61122,
12418.36,-72.85841,
12437.43,-72.41134,
12456.51,-72.52119,
12475.58,-73.56,
12494.66,-73.05357,
12513.73,-72.86084,
12532.81,-73.1013,
12551.89,-73.85683,
12570.96,-73.23163,
12590.04,-73.2637,
12609.11,-73.01809,
12628.19,-72.95148,
12647.27,-72.76389,
12666.34,-71.82904,
12685.42,-71.33646,
12704.49,-69.89351,
12723.57,-67.89619,
12742.64,-63.61406,
12761.72,-70.64837,
12780.8,-68.48904,
12799.87,-65.3701,
12818.95,-60.37857,
12838.02,-52.91263,
12857.1,-41.04156,
12876.17,-55.38333,
12895.25,-59.25249,
12914.33,-61.3528,
12933.4,-59.89161,
12952.48,-34.22968,
12971.55,-78.49413,
12990.63,-69.6188,
13009.71,-63.64564,
13028.78,-56.47779,
13047.86,-41.6638,
13066.93,-49.16616,
13086.01,-55.78719,
13105.08,-58.7236,
13124.16,-60.49879,
13143.24,-60.30267,
13162.31,-63.8256,
13181.39,-65.23336,
13200.46,-65.48972,
13219.54,-65.97633,
13238.62,-66.2813,
13257.69,-66.26656,
13276.77,-66.89742,
13295.84,-67.02235,
13314.92,-67.36749,
13334,-67.67033,
13353.07,-67.97496,
13372.15,-68.22777,
13391.22,-68.18349,
13410.3,-68.62976,
13429.37,-68.74438,
13448.45,-68.73941,
13467.53,-69.11393,
13486.6,-69.27927,
13505.68,-69.50894,
13524.75,-69.69748,
13543.83,-69.37521,
13562.9,-69.30653,
13581.98,-69.56463,
13601.06,-69.67597,
13620.13,-69.82779,
13639.21,-69.81386,
13658.28,-69.70202,
13677.36,-69.96674,
13696.44,-69.90452,
13715.51,-70.12175,
13734.59,-70.14525,
13753.66,-71.37839,
13772.74,-70.18703,
13791.81,-70.39916,
13810.89,-70.3962,
13829.97,-70.31133,
13849.04,-71.72689,
13868.12,-69.42629,
13887.19,-69.16064,
13906.27,-68.92401,
13925.34,-67.55865,
13944.42,-62.89913,
13963.5,-72.84817,
13982.57,-74.87589,
14001.65,-73.49046,
14020.72,-72.64272,
14039.8,-72.35741,
14058.88,-72.0729,
14077.95,-72.34086,
14097.03,-72.00051,
14116.1,-72.06486,
14135.18,-71.97649,
14154.25,-71.58548,
14173.33,-71.93803,
14192.41,-71.85773,
14211.48,-72.02608,
14230.56,-72.12625,
14249.63,-71.9942,
14268.71,-71.60574,
14287.79,-71.9103,
14306.86,-71.82021,
14325.94,-72.40659,
14345.01,-71.91322,
14364.09,-71.71508,
14383.17,-71.73932,
14402.24,-71.62492,
14421.32,-72.00739,
14440.39,-71.6664,
14459.47,-72.00197,
14478.54,-71.98343,
14497.62,-71.77996,
14516.7,-71.8027,
14535.77,-72.0778,
14554.85,-72.06116,
14573.92,-72.17155,
14593,-71.84828,
14612.07,-71.90449,
14631.15,-72.16251,
14650.23,-72.01044,
14669.3,-72.34138,
14688.38,-72.05394,
14707.45,-71.58042,
14726.53,-71.5603,
14745.61,-71.36397,
14764.68,-72.22301,
14783.76,-72.05522,
14802.83,-71.24236,
14821.91,-70.82256,
14840.98,-69.64715,
14860.06,-77.41576,
14879.14,-72.76501,
14898.21,-71.94708,
14917.29,-70.76662,
14936.36,-68.49115,
14955.44,-59.0794,
14974.51,-80.46846,
14993.59,-77.77347,
15012.67,-76.3899,
15031.74,-76.98013,
15050.82,-60.42388,
15069.89,-69.313,
15088.97,-71.83454,
15108.05,-71.99379,
15127.12,-73.28811,
15146.2,-75.91424,
15165.27,-70.12784,
15184.35,-71.41778,
15203.42,-71.93616,
15222.5,-71.91637,
15241.58,-72.10786,
15260.65,-72.02751,
15279.73,-72.10809,
15298.8,-72.35892,
15317.88,-71.69756,
15336.96,-72.22569,
15356.03,-72.46973,
15375.11,-72.30811,
15394.18,-72.21056,
15413.26,-72.08886,
15432.33,-72.2749,
15451.41,-72.23383,
15470.49,-71.64027,
15489.56,-72.26226,
15508.64,-72.18523,
15527.71,-72.03218,
15546.79,-71.46828,
15565.87,-71.33733,
15584.94,-71.96606,
15604.02,-71.81216,
15623.09,-71.92574,
15642.17,-71.43177,
15661.24,-71.5148,
15680.32,-71.72218,
15699.4,-71.99133,
15718.47,-71.93459,
15737.55,-71.41942,
15756.62,-70.93276,
15775.7,-71.20598,
15794.78,-71.25989,
15813.85,-71.20325,
15832.93,-71.18317,
15852,-70.4124,
15871.08,-70.81049,
15890.15,-70.7838,
15909.23,-70.58582,
15928.31,-70.4122,
15947.38,-70.37725,
15966.46,-70.09975,
15985.53,-69.75584,
16004.61,-69.63052,
16023.68,-69.63555,
16042.76,-69.68312,
16061.84,-69.01791,
16080.91,-68.55959,
16099.99,-68.53393,
16119.06,-67.96337,
16138.14,-67.52634,
16157.22,-67.07911,
16176.29,-66.41965,
16195.37,-65.64697,
16214.44,-64.27866,
16233.52,-61.42979,
16252.59,-65.55575,
16271.67,-62.55975,
16290.75,-60.47646,
16309.82,-57.02073,
16328.9,-50.18672,
16347.97,-46.39723,
16367.05,-60.58006,
16386.13,-68.23244,
