Freq.	V(vo)
3.37381492190077e+002	(-5.69639500343046e-001dB,-9.75056225924180e+001°)
3.38159236852652e+002	(-5.69656451598205e-001dB,-9.77332220749132e+001°)
3.38938774401838e+002	(-5.69673511237852e-001dB,-9.79613647194644e+001°)
3.39720108970666e+002	(-5.69690677605830e-001dB,-9.81900519142083e+001°)
3.40503244701693e+002	(-5.69707949018461e-001dB,-9.84192850517000e+001°)
3.41288185747028e+002	(-5.69725323764724e-001dB,-9.86490655289354e+001°)
3.42074936268349e+002	(-5.69742800106265e-001dB,-9.88793947473732e+001°)
3.42863500436930e+002	(-5.69760376277621e-001dB,-9.91102741129589e+001°)
3.43653882433659e+002	(-5.69778050486224e-001dB,-9.93417050361465e+001°)
3.44446086449064e+002	(-5.69795820912597e-001dB,-9.95736889319220e+001°)
3.45240116683329e+002	(-5.69813685710462e-001dB,-9.98062272198264e+001°)
3.46035977346326e+002	(-5.69831643007015e-001dB,-1.00039321323979e+002°)
3.46833672657628e+002	(-5.69849690902873e-001dB,-1.00272972673102e+002°)
3.47633206846536e+002	(-5.69867827472544e-001dB,-1.00507182700542e+002°)
3.48434584152101e+002	(-5.69886050764291e-001dB,-1.00741952844295e+002°)
3.49237808823146e+002	(-5.69904358800627e-001dB,-1.00977284547030e+002°)
3.50042885118287e+002	(-5.69922749578468e-001dB,-1.01213179256114e+002°)
3.50849817305960e+002	(-5.69941221069170e-001dB,-1.01449638423637e+002°)
3.51658609664438e+002	(-5.69959771219136e-001dB,-1.01686663506432e+002°)
3.52469266481857e+002	(-5.69978397949736e-001dB,-1.01924255966105e+002°)
3.53281792056241e+002	(-5.69997099157741e-001dB,-1.02162417269056e+002°)
3.54096190695517e+002	(-5.70015872715705e-001dB,-1.02401148886506e+002°)
3.54912466717548e+002	(-5.70034716472092e-001dB,-1.02640452294521e+002°)
3.55730624450146e+002	(-5.70053628251675e-001dB,-1.02880328974039e+002°)
3.56550668231104e+002	(-5.70072605855960e-001dB,-1.03120780410891e+002°)
3.57372602408211e+002	(-5.70091647063418e-001dB,-1.03361808095831e+002°)
3.58196431339280e+002	(-5.70110749629848e-001dB,-1.03603413524562e+002°)
3.59022159392171e+002	(-5.70129911288916e-001dB,-1.03845598197757e+002°)
3.59849790944812e+002	(-5.70149129752434e-001dB,-1.04088363621089e+002°)
3.60679330385222e+002	(-5.70168402710786e-001dB,-1.04331711305257e+002°)
3.61510782111538e+002	(-5.70187727833396e-001dB,-1.04575642766011e+002°)
3.62344150532032e+002	(-5.70207102769200e-001dB,-1.04820159524177e+002°)
3.63179440065143e+002	(-5.70226525147119e-001dB,-1.05065263105689e+002°)
