x-axis,B,2
second,Volt,Volt
-1.019995E-03,-3.156259766E+00,-372.650787E-03
-1.014995E-03,-3.166023437E+00,-367.182037E-03
-1.009995E-03,-3.173835937E+00,-361.713287E-03
-1.004995E-03,-3.181646484E+00,-356.244537E-03
-999.995E-06,-3.187503906E+00,-350.775396E-03
-994.995E-06,-3.191412109E+00,-344.916021E-03
-989.995E-06,-3.197269531E+00,-339.057036E-03
-984.995E-06,-3.201175781E+00,-333.587505E-03
-979.995E-06,-3.205082031E+00,-327.337505E-03
-974.995E-06,-3.208984375E+00,-321.087114E-03
-969.995E-06,-3.208986328E+00,-314.446489E-03
-964.995E-06,-3.210935547E+00,-307.806255E-03
-959.995E-06,-3.208984375E+00,-301.555864E-03
-954.995E-06,-3.208984375E+00,-294.915239E-03
-949.995E-06,-3.208986328E+00,-288.274223E-03
-944.995E-06,-3.210933594E+00,-281.242582E-03
-939.995E-06,-3.207029297E+00,-273.821098E-03
-934.995E-06,-3.205072266E+00,-266.789848E-03
-929.995E-06,-3.199216797E+00,-259.758207E-03
-924.995E-06,-3.197257813E+00,-252.335941E-03
-919.995E-06,-3.189447266E+00,-244.523832E-03
-914.995E-06,-3.183585938E+00,-237.101566E-03
-909.995E-06,-3.175773438E+00,-229.289066E-03
-904.995E-06,-3.167962891E+00,-221.476566E-03
-899.995E-06,-3.162101563E+00,-213.664066E-03
-894.995E-06,-3.154289063E+00,-205.851175E-03
-889.995E-06,-3.146472656E+00,-197.648440E-03
-884.995E-06,-3.134753906E+00,-189.835550E-03
-879.995E-06,-3.123037109E+00,-181.632425E-03
-874.995E-06,-3.113267578E+00,-173.428909E-03
-869.995E-06,-3.099595703E+00,-164.835940E-03
-864.995E-06,-3.085921875E+00,-157.023440E-03
-859.995E-06,-3.070298828E+00,-149.210940E-03
-854.995E-06,-3.056626953E+00,-141.398049E-03
-849.995E-06,-3.042955078E+00,-133.194533E-03
-844.995E-06,-3.029279297E+00,-124.600392E-03
-839.995E-06,-3.011703125E+00,-115.616408E-03
-834.995E-06,-2.996076172E+00,-107.023439E-03
-829.995E-06,-2.978496094E+00,-99.209767E-03
-824.995E-06,-2.958962891E+00,-90.225392E-03
-819.995E-06,-2.937480469E+00,-81.241017E-03
-814.995E-06,-2.917945313E+00,-72.256642E-03
-809.995E-06,-2.894507813E+00,-63.272657E-03
-804.995E-06,-2.871072266E+00,-54.679298E-03
