Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
1930.54,0.0112683,-25.6086
1938.33,0.00875037,-26.1557
1946.16,0.0154301,-26.6681
1954.02,0.0153251,-27.1219
1961.91,0.00729705,-27.6729
1969.83,0.00440033,-28.121
1977.78,0.00111478,-28.6566
1985.77,0.00690609,-29.2226
1993.79,0.0132127,-29.7107
2001.84,0.0149617,-30.2336
2009.92,0.0035674,-30.7314
2018.04,0.00899667,-31.2918
2026.19,0.00486588,-31.7767
2034.37,0.00567527,-32.2571
2042.58,0.0111472,-32.6225
2050.83,0.0109979,-33.1657
2059.11,0.003057,-33.7591
2067.43,0.00570349,-34.4625
2075.77,0.0174104,-34.6978
2084.16,0.00626003,-35.2178
2092.57,0.00542555,-35.7457
2101.02,0.00720025,-36.0637
2109.5,0.00977887,-36.6556
2118.02,0.0103246,-37.1512
2126.58,0.00513955,-37.7467
2135.16,0.00487315,-38.2336
2143.78,0.00359557,-38.7384
2152.44,0.00934124,-39.0064
2161.13,0.00322004,-39.4147
2169.86,0.00640563,-40.116
2178.62,0.00149918,-40.3699
2187.42,0.00987462,-40.5954
2196.25,-0.00141696,-41.4419
2205.12,0.017024,-41.5436
2214.02,0.00354595,-42.6196
2222.96,0.0122192,-42.8833
2231.94,0.0025691,-43.0245
2240.95,0.00819405,-43.7562
2250,0.00802044,-44.3602
