Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
3173.18,4.92708e-05,-82.7736
3198.15,0.00877206,-73.3619
3223.32,0.00912986,-69.0325
3248.69,0.00275006,-69.4152
3274.26,-0.00699989,-72.5589
3300.03,0.00172448,-67.7223
3326.01,8.90781e-05,-63.9548
3352.18,0.0043271,-67.4246
3378.57,0.00207695,-70.6542
3405.16,0.00710839,-72.5335
3431.96,-0.00483692,-65.5298
3458.97,0.0111778,-66.3228
3486.19,0.00708816,-70.7489
3513.63,-0.00369894,-65.3037
3541.29,-0.00289755,-65.914
3569.16,0.000187792,-69.6196
3597.25,0.00578585,-71.2181
3625.56,0.00152496,-73.0688
3654.1,0.00640434,-68.4795
3682.86,-0.0087541,-67.8964
3711.84,0.000998228,-68.536
3741.06,0.00579557,-67.2006
3770.5,-0.0046538,-70.554
3800.18,0.000436492,-73.0317
3830.09,0.000187621,-65.2834
3860.23,0.00504471,-65.7532
3890.61,0.00498453,-64.1987
3921.23,-0.000565364,-65.4456
3952.1,0.0040752,-70.0002
3983.2,-0.00922395,-75.7564
4014.55,-0.00220213,-73.7221
4046.15,0.000517666,-73.5516
4077.99,-0.0018832,-75.0174
4110.09,-0.000811982,-77.1644
4142.44,-0.00719039,-66.8126
4175.04,0.00428217,-71.6683
4207.9,0.00431332,-65.4977
4241.02,0.000565272,-66.0919
4274.4,0.00209594,-69.9023
4308.04,0.0100825,-76.1908
4341.95,0.00543764,-68.9766
4376.12,0.000147264,-76.7626
4410.56,-0.00516047,-75.1175
4445.28,0.00114707,-66.2878
4480.26,0.000983241,-65.9691
4515.53,-0.00167857,-77.8874
4551.06,-0.00133596,-69.3899
4586.88,0.000659074,-67.4047
4622.99,0.00427505,-67.2314
4659.37,0.00461486,-67.4926
4696.04,0.0016079,-67.0466
4733,-0.00550537,-74.3903
4770.25,0.00623666,-66.2541
4807.8,0.00866485,-71.9048
4845.64,0.0103799,-64.5425
4883.78,-0.0109345,-64.1948
4922.21,0.00645347,-68.7671
4960.95,-0.00422794,-63.4018
5000,0.000888692,-69.2461
